Fri Jan  9 15:36:56 2026    branch/profil/profiling_results_opt_C.prof

         1596940 function calls (1596890 primitive calls) in 36.329 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/files.py:221(make_fid)
     1154    0.001    0.000    0.001    0.000 {built-in method numpy.seterrobj}
      626    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
       57    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:831(dot)
       57    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:741(ddot)
        7    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/diis.py:244(extrapolate)
       15    0.000    0.000    0.001    0.000 {built-in method _functools.reduce}
     2657    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
       57    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:896(_dgemm)
       19    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/files.py:647(__exit__)
       38    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/files.py:622(close)
     7776    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:404(<genexpr>)
      576    0.001    0.000    0.001    0.000 {method 'set' of '_contextvars.ContextVar' objects}
        1    0.000    0.000    0.001    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/chkfile.py:179(save_mol)
     2341    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      626    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        3    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      298    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
      303    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/linalg/linalg.py:135(_makearray)
        3    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1828(get_ovlp)
        3    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:339(get_ovlp)
     8640    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:395(<lambda>)
      921    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      649    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.001    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1763(build)
        1    0.000    0.000    0.001    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1754(check_sanity)
        1    0.000    0.000    0.001    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/addons.py:580(project_mo_nr2nr)
     4609    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/multiarray.py:346(where)
      576    0.001    0.000    0.001    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
     2308    0.001    0.000    0.001    0.000 {built-in method numpy.geterrobj}
     1826    0.001    0.000    0.001    0.000 {method 'conj' of 'numpy.ndarray' objects}
      941    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
